"wonderflonium";"fallian marsh gas";"quality"
4.151636345289305;5.350607460352423;2
3.4031254558883752;4.787343265850725;2
5.036223549892011;4.609847277916538;2
4.483533586549524;4.332339988453301;9
4.215978659381123;5.220294759386774;2
4.358374051530186;4.48455821187503;9
3.6722143146162316;3.440111049111975;1
4.940593267720206;3.7724739761552466;1
4.572443823372669;4.242680587779352;8
5.084677933420214;4.044793467551544;2
3.5029084852418526;4.981996767187566;1
3.319864410657864;4.569648121996188;3
3.538569334799755;4.762201155006492;1
4.4370474653374234;3.3649330452016724;2
3.8220842417125347;5.146626414964013;2
3.916384347547321;3.442826935475761;3
3.9495034043648665;4.064860774539144;6
3.7267668070827296;3.4919477147854443;3
3.1885482038614334;4.029705764751743;1
4.76601603094195;3.1709414413859944;4
4.278319754093117;3.4097836076390147;3
3.7460662705360748;3.6692143595096827;1
3.306123810867244;4.704090349368447;3
4.315682827049239;4.083765647542535;6
4.239552762599738;4.253142794701943;6
4.55196385911532;4.040826540838258;9
4.188093405886791;4.178908159358297;7
4.757332161325702;5.072196956048278;3
4.406819511479016;4.080803320871388;7
5.483444770630765;4.194815729054995;1
4.106410356085394;4.317270562172495;9
5.134943845024967;4.956353922657012;1
4.45065555780994;4.246486189811184;7
3.6431012272824264;3.4445306749805487;3
4.18074166318868;4.173172199587608;6
3.9679050227172867;4.2125281907868315;7
3.973523213707358;3.398669807931287;4
4.066433080616993;5.181705539563096;2
3.851990305500025;3.1630790922758965;2
4.232600714663131;4.341592017189842;9
4.030686546939114;4.438601320812365;7
3.687286631035563;3.3231543825010412;3
3.965802098831881;4.516485832609273;6
3.3162745157744125;3.4445534462249663;4
4.221865887332103;4.11062533987742;8
4.10691167050197;4.477607009881545;9
3.984721555889202;3.233571179711734;2
4.228609858105658;4.278559121850575;6
3.5827059685985434;3.396139869904387;3
3.86771925029082;3.16233291296089;3
3.750349450095017;5.277857053546739;3
4.5261796844344495;4.196365094898184;8
4.089366451448955;4.104731122209948;9
4.440953933264407;4.05009459308197;6
4.439090416769928;3.2339468468164734;3
3.1905761995273982;4.875990909385981;4
4.026452021238944;4.52751965168728;6
3.6538225542384652;5.030721077607911;2
4.310239973932565;4.5023952582330224;8
4.433213375121363;3.4704289653616334;3
4.2912687886826015;4.333285893827382;9
4.393015452167628;4.144602588741529;9
3.8380584402157965;5.02097698095754;1
4.140029672428652;4.152098670180693;6
3.3852839366071614;5.2003157738268655;2
4.187088014036427;4.399911980008485;9
4.171767642097037;4.229168193641462;7
4.287072874694486;4.401682801103712;6
4.330996868622931;4.193170169224106;9
3.74118027816139;5.215352132802366;3
3.8993821908294213;3.205997567063378;3
